PARK,SIZE,BOROUGH,TOTAL
PELHAM BAY PARK,2771.75,BRONX        ,28
VAN CORTLANDT PARK,1146.43,BRONX        ,55
ROCKAWAY BEACH AND BOARDWALK,1072.56,QUEENS       ,80
FRESHKILLS PARK,913.32,STATEN ISLAND,1
FLUSHING MEADOWS CORONA PARK,897.69,QUEENS       ,287
LATOURETTE PARK & GOLF COURSE,843.97,STATEN ISLAND,1
MARINE PARK,798,BROOKLYN     ,21
BELT PARKWAY/SHORE PARKWAY,760.43,BROOKLYN/QUEENS,8
BRONX PARK,718.37,BRONX        ,73
FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,644.35,STATEN ISLAND,6
ALLEY POND PARK,635.51,QUEENS       ,23
PROSPECT PARK,526.25,BROOKLYN     ,163
FOREST PARK,506.86,QUEENS       ,37
GRAND CENTRAL PARKWAY,460.16,QUEENS       ,0
FERRY POINT PARK,413.8,BRONX        ,8
CONEY ISLAND BEACH & BOARDWALK,399.2,BROOKLYN     ,198
CUNNINGHAM PARK,358,QUEENS       ,21
RICHMOND PARKWAY,350.98,STATEN ISLAND,0
CROSS ISLAND PARKWAY,326.9,QUEENS       ,0
GREAT KILLS PARK,315.09,STATEN ISLAND,1
WOLFE'S POND PARK,302.69,STATEN ISLAND,0
CONFERENCE HOUSE PARK,286.38,STATEN ISLAND,0
RANDALL'S ISLAND PARK,256.11,MANHATTAN    ,217
ROCKAWAY COMMUNITY PARK,255.4,QUEENS       ,1
KISSENA PARK,237.15,QUEENS       ,26
RIVERSIDE PARK,235.77,MANHATTAN    ,178
HUTCHINSON RIVER PARKWAY,229.14,BRONX        ,0
BLUE HERON PARK,217.45,STATEN ISLAND,0
DYKER BEACH PARK,216.66,BROOKLYN     ,12
WILLOWBROOK PARK,214.95,STATEN ISLAND,0
STATEN ISLAND INDUSTRIAL PARK,210.93,STATEN ISLAND,0
SILVER LAKE PARK,205.98,STATEN ISLAND,2
BRONX RIVER PARKWAY,205.65,BRONX        ,10
SOUNDVIEW PARK,205.31,BRONX        ,29
BELT PARKWAY,202.65,QUEENS       ,0
WILLOWBROOK PARKWAY,198.48,STATEN ISLAND,0
INWOOD HILL PARK,196.4,MANHATTAN    ,21
CLOVE LAKES PARK,193.42,STATEN ISLAND,11
FORT WASHINGTON PARK,184.14,MANHATTAN    ,10
IDLEWILD PARK,180.85,QUEENS       ,1
WARDS ISLAND PARK,176.58,MANHATTAN    ,3
SOUTH SHORE COUNTRY CLUB,173.99,STATEN ISLAND,0
SAW MILL CREEK MARSH,171.78,STATEN ISLAND,0
BLOOD ROOT VALLEY,161.24,STATEN ISLAND,0
JAMAICA BAY PARK,149.54,QUEENS       ,0
KISSENA CORRIDOR PARK,146.81,QUEENS       ,33
HIGHLAND PARK,146.34,BROOKLYN/QUEENS,50
ARDEN WOODS,145.86,STATEN ISLAND,0
RIVERDALE PARK,144.29,BRONX        ,0
OCEAN PARKWAY MALLS,140,BROOKLYN     ,2
BLOOMINGDALE PARK,138.1,STATEN ISLAND,1
OCEAN BREEZE PARK,136.57,STATEN ISLAND,1
CANARSIE PARK,132.2,BROOKLYN     ,11
HIGHBRIDGE PARK MANHATTAN SIDE,130.1,MANHATTAN    ,71
CROTONA PARK,127.5,BRONX        ,127
PAERDEGAT BASIN PARK,118.8,BROOKLYN     ,1
HOOK CREEK PARK,111.16,QUEENS       ,0
CRESCENT BEACH PARK,110.96,STATEN ISLAND,0
CLEARVIEW PARK GOLF COURSE,110.93,QUEENS       ,0
BAISLEY POND PARK,109.61,QUEENS       ,23
PELHAM PARKWAY,108.91,BRONX        ,3
PRALLS ISLAND,107.51,STATEN ISLAND,0
MARINERS MARSH PARK,107.2,STATEN ISLAND,0
DOUGLASTON PARK GOLF COURSE,104.6,QUEENS       ,0
